,0,1,2,3,4,5
0,0.5,0.5,0.5,0.5,0.5,0.4376959372292876
1,0.75,0.25,0.75,0.25,0.75,0.4209914484664044
2,0.25,0.75,0.25,0.75,0.25,0.3256573307361372
3,0.375,0.375,0.625,0.125,0.875,0.33267322547420214
4,0.875,0.875,0.125,0.625,0.375,0.4056114901514864
5,0.625,0.125,0.375,0.375,0.125,0.20533685832966783
6,0.125,0.625,0.875,0.875,0.625,0.45594345511488316
7,0.1875,0.3125,0.3125,0.6875,0.5625,0.3092476853610964
8,0.6875,0.8125,0.8125,0.1875,0.0625,0.28857717494555973
9,0.9375,0.0625,0.5625,0.9375,0.3125,0.3330252557017833
10,0.4375,0.5625,0.0625,0.4375,0.8125,0.2905185451291455
11,0.3125,0.1875,0.9375,0.5625,0.4375,0.36054427808708783
12,0.8125,0.6875,0.4375,0.0625,0.9375,0.36544107805785275
13,0.5625,0.4375,0.1875,0.8125,0.6875,0.418800621776041
14,0.0625,0.9375,0.6875,0.3125,0.1875,0.23595596782401704
15,0.09375,0.46875,0.84375,0.40625,0.28125,0.27297192422090105
16,0.59375,0.96875,0.34375,0.90625,0.78125,0.6125645325880206
17,0.84375,0.21875,0.09375,0.15625,0.53125,0.20774981555320512
18,0.34375,0.71875,0.59375,0.65625,0.03125,0.2507855829088423
19,0.46875,0.09375,0.46875,0.28125,0.65625,0.2657936003561126
20,0.96875,0.59375,0.96875,0.78125,0.15625,0.5218500275034085
21,0.71875,0.34375,0.71875,0.03125,0.40625,0.23323055765333325
22,0.21875,0.84375,0.21875,0.53125,0.90625,0.39240265911265404
23,0.15625,0.15625,0.53125,0.84375,0.84375,0.32950394998466254
24,0.65625,0.65625,0.03125,0.34375,0.34375,0.21330583736014325
25,0.90625,0.40625,0.28125,0.59375,0.09375,0.2942634443826115
26,0.40625,0.90625,0.78125,0.09375,0.59375,0.3750984409165346
27,0.28125,0.28125,0.15625,0.96875,0.21875,0.24222796419009676
28,0.78125,0.78125,0.65625,0.46875,0.71875,0.6076325345329915
29,0.53125,0.03125,0.90625,0.71875,0.96875,0.33952126860633797
30,0.03125,0.53125,0.40625,0.21875,0.46875,0.17102365672999723
31,0.046875,0.265625,0.609375,0.578125,0.703125,0.25234745449113266
32,0.546875,0.765625,0.109375,0.078125,0.203125,0.17335010785724206
33,0.796875,0.015625,0.359375,0.828125,0.453125,0.21631729354957713
34,0.296875,0.515625,0.859375,0.328125,0.953125,0.4659658762250495
35,0.421875,0.140625,0.234375,0.703125,0.328125,0.2548321929038878
36,0.921875,0.640625,0.734375,0.203125,0.828125,0.5300898887712027
37,0.671875,0.390625,0.984375,0.953125,0.578125,0.6148323064790815
38,0.171875,0.890625,0.484375,0.453125,0.078125,0.2423587683204518
39,0.234375,0.078125,0.796875,0.140625,0.140625,0.13359994366947506
40,0.734375,0.578125,0.296875,0.640625,0.640625,0.4907202252251431
41,0.984375,0.328125,0.046875,0.390625,0.890625,0.2878984183962567
42,0.484375,0.828125,0.546875,0.890625,0.390625,0.5354521799770057
43,0.359375,0.453125,0.421875,0.015625,0.765625,0.17921819605505826
44,0.859375,0.953125,0.921875,0.515625,0.265625,0.572912049537723
45,0.609375,0.203125,0.671875,0.265625,0.015625,0.1407469188817505
46,0.109375,0.703125,0.171875,0.765625,0.515625,0.2872406020926526
47,0.078125,0.234375,0.265625,0.984375,0.984375,0.2801941288718287
48,0.578125,0.734375,0.765625,0.484375,0.484375,0.535369211096611
49,0.828125,0.484375,0.515625,0.734375,0.234375,0.4508977125644948
50,0.328125,0.984375,0.015625,0.234375,0.734375,0.18190952186537226
51,0.453125,0.359375,0.890625,0.859375,0.109375,0.36125337245965816
52,0.953125,0.859375,0.390625,0.359375,0.609375,0.5253273738193514
53,0.703125,0.109375,0.140625,0.609375,0.859375,0.2930130283527423
