,0,1,2,3,4,5,6,7
0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.4376959372292876
1,0.75,0.25,0.75,0.25,0.75,0.25,0.75,0.4060569383808172
2,0.25,0.75,0.25,0.75,0.25,0.75,0.25,0.33802815864362884
3,0.375,0.375,0.625,0.125,0.875,0.875,0.125,0.3131353069826855
4,0.875,0.875,0.125,0.625,0.375,0.375,0.625,0.41018599006125533
5,0.625,0.125,0.375,0.375,0.125,0.625,0.875,0.29551574535804914
6,0.125,0.625,0.875,0.875,0.625,0.125,0.375,0.3415574713477723
7,0.1875,0.3125,0.3125,0.6875,0.5625,0.1875,0.0625,0.19891016814068696
8,0.6875,0.8125,0.8125,0.1875,0.0625,0.6875,0.5625,0.350905964143003
9,0.9375,0.0625,0.5625,0.9375,0.3125,0.4375,0.8125,0.38226820046565196
10,0.4375,0.5625,0.0625,0.4375,0.8125,0.9375,0.3125,0.336406386915861
11,0.3125,0.1875,0.9375,0.5625,0.4375,0.8125,0.1875,0.3509809773192315
12,0.8125,0.6875,0.4375,0.0625,0.9375,0.3125,0.6875,0.37536891657367555
13,0.5625,0.4375,0.1875,0.8125,0.6875,0.5625,0.9375,0.47885805816899457
14,0.0625,0.9375,0.6875,0.3125,0.1875,0.0625,0.4375,0.18969838921550208
15,0.09375,0.46875,0.84375,0.40625,0.28125,0.34375,0.53125,0.2970377048197999
16,0.59375,0.96875,0.34375,0.90625,0.78125,0.84375,0.03125,0.3869080048756055
17,0.84375,0.21875,0.09375,0.15625,0.53125,0.09375,0.28125,0.17121957268611054
18,0.34375,0.71875,0.59375,0.65625,0.03125,0.59375,0.78125,0.3286316187480001
19,0.46875,0.09375,0.46875,0.28125,0.65625,0.71875,0.65625,0.3428928453711298
20,0.96875,0.59375,0.96875,0.78125,0.15625,0.21875,0.15625,0.358201912255063
21,0.71875,0.34375,0.71875,0.03125,0.40625,0.96875,0.40625,0.30413916599611085
22,0.21875,0.84375,0.21875,0.53125,0.90625,0.46875,0.90625,0.44166815506774626
23,0.15625,0.15625,0.53125,0.84375,0.84375,0.40625,0.59375,0.3556312623169848
24,0.65625,0.65625,0.03125,0.34375,0.34375,0.90625,0.09375,0.2177500205384249
25,0.90625,0.40625,0.28125,0.59375,0.09375,0.15625,0.34375,0.252965214376098
26,0.40625,0.90625,0.78125,0.09375,0.59375,0.65625,0.84375,0.4468072823412665
27,0.28125,0.28125,0.15625,0.96875,0.21875,0.53125,0.71875,0.310460418261926
28,0.78125,0.78125,0.65625,0.46875,0.71875,0.03125,0.21875,0.30618431945193664
29,0.53125,0.03125,0.90625,0.71875,0.96875,0.78125,0.46875,0.38939106891471303
30,0.03125,0.53125,0.40625,0.21875,0.46875,0.28125,0.96875,0.23137741795427597
31,0.046875,0.265625,0.609375,0.578125,0.703125,0.640625,0.265625,0.27765898312898274
32,0.546875,0.765625,0.109375,0.078125,0.203125,0.140625,0.765625,0.19672626394884432
33,0.796875,0.015625,0.359375,0.828125,0.453125,0.890625,0.515625,0.29686599333535174
34,0.296875,0.515625,0.859375,0.328125,0.953125,0.390625,0.015625,0.24367676952760584
35,0.421875,0.140625,0.234375,0.703125,0.328125,0.265625,0.390625,0.25624752867618417
36,0.921875,0.640625,0.734375,0.203125,0.828125,0.765625,0.890625,0.5890594662093286
37,0.671875,0.390625,0.984375,0.953125,0.578125,0.015625,0.640625,0.32979938297587
38,0.171875,0.890625,0.484375,0.453125,0.078125,0.515625,0.140625,0.23179871346253478
39,0.234375,0.078125,0.796875,0.140625,0.140625,0.578125,0.328125,0.18383612233555202
40,0.734375,0.578125,0.296875,0.640625,0.640625,0.078125,0.828125,0.3806640064453484
41,0.984375,0.328125,0.046875,0.390625,0.890625,0.828125,0.578125,0.36311431624225443
42,0.484375,0.828125,0.546875,0.890625,0.390625,0.328125,0.078125,0.3479607582081651
43,0.359375,0.453125,0.421875,0.015625,0.765625,0.453125,0.453125,0.2267850217413427
44,0.859375,0.953125,0.921875,0.515625,0.265625,0.953125,0.953125,0.6509963316870299
45,0.609375,0.203125,0.671875,0.265625,0.015625,0.203125,0.703125,0.1801831096354069
46,0.109375,0.703125,0.171875,0.765625,0.515625,0.703125,0.203125,0.29512268039943407
47,0.078125,0.234375,0.265625,0.984375,0.984375,0.984375,0.796875,0.3870088340261569
48,0.578125,0.734375,0.765625,0.484375,0.484375,0.484375,0.296875,0.46251626319828126
49,0.828125,0.484375,0.515625,0.734375,0.234375,0.734375,0.046875,0.3214410389808039
50,0.328125,0.984375,0.015625,0.234375,0.734375,0.234375,0.546875,0.21011374422612536
51,0.453125,0.359375,0.890625,0.859375,0.109375,0.109375,0.921875,0.3277856718974017
52,0.953125,0.859375,0.390625,0.359375,0.609375,0.609375,0.421875,0.5010728889690153
53,0.703125,0.109375,0.140625,0.609375,0.859375,0.359375,0.171875,0.258517100399379
54,0.203125,0.609375,0.640625,0.109375,0.359375,0.859375,0.671875,0.3430963118101596
55,0.140625,0.421875,0.078125,0.296875,0.421875,0.796875,0.859375,0.26443062335979806
56,0.640625,0.921875,0.578125,0.796875,0.921875,0.296875,0.359375,0.5338444784767125
57,0.890625,0.171875,0.828125,0.046875,0.671875,0.546875,0.109375,0.24148844250834667
58,0.390625,0.671875,0.328125,0.546875,0.171875,0.046875,0.609375,0.2400901704183802
59,0.265625,0.046875,0.703125,0.421875,0.546875,0.171875,0.984375,0.25744741430911716
60,0.765625,0.546875,0.203125,0.921875,0.046875,0.671875,0.484375,0.3201117728213977
61,0.515625,0.296875,0.453125,0.171875,0.296875,0.421875,0.234375,0.25853461557902985
62,0.015625,0.796875,0.953125,0.671875,0.796875,0.921875,0.734375,0.39683786819989875
63,0.0234375,0.3984375,0.4453125,0.8046875,0.2109375,0.8671875,0.3984375,0.24240430275705208
64,0.5234375,0.8984375,0.9453125,0.3046875,0.7109375,0.3671875,0.8984375,0.5486359370941347
65,0.7734375,0.1484375,0.6953125,0.5546875,0.9609375,0.6171875,0.6484375,0.4965663189516582
66,0.2734375,0.6484375,0.1953125,0.0546875,0.4609375,0.1171875,0.1484375,0.14263756509583905
67,0.3984375,0.0234375,0.8203125,0.9296875,0.8359375,0.2421875,0.2734375,0.26404444515575204
68,0.8984375,0.5234375,0.3203125,0.4296875,0.3359375,0.7421875,0.7734375,0.4723089462301952
69,0.6484375,0.2734375,0.0703125,0.6796875,0.0859375,0.4921875,0.5234375,0.23119491483008822
70,0.1484375,0.7734375,0.5703125,0.1796875,0.5859375,0.9921875,0.0234375,0.2246754203925643
71,0.2109375,0.2109375,0.1328125,0.4921875,0.6484375,0.9296875,0.4609375,0.29928705508646025
72,0.7109375,0.7109375,0.6328125,0.9921875,0.1484375,0.4296875,0.9609375,0.5072834353361553
73,0.9609375,0.4609375,0.8828125,0.2421875,0.3984375,0.6796875,0.7109375,0.5020493879013175
74,0.4609375,0.9609375,0.3828125,0.7421875,0.8984375,0.1796875,0.2109375,0.3965914174192427
75,0.3359375,0.3359375,0.5078125,0.3671875,0.2734375,0.0546875,0.3359375,0.2081018137407841
