,0,1,2,3,4,5,6,7,8,9
0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.4376959372292876
1,0.75,0.25,0.75,0.25,0.75,0.25,0.75,0.25,0.25,0.3450704928071555
2,0.25,0.75,0.25,0.75,0.25,0.75,0.25,0.75,0.75,0.39796032401390863
3,0.375,0.375,0.625,0.125,0.875,0.875,0.125,0.625,0.125,0.2893075341529399
4,0.875,0.875,0.125,0.625,0.375,0.375,0.625,0.125,0.625,0.3581577171132393
5,0.625,0.125,0.375,0.375,0.125,0.625,0.875,0.875,0.375,0.33495760668715635
6,0.125,0.625,0.875,0.875,0.625,0.125,0.375,0.375,0.875,0.3741745544862687
7,0.1875,0.3125,0.3125,0.6875,0.5625,0.1875,0.0625,0.9375,0.1875,0.22787171267868916
8,0.6875,0.8125,0.8125,0.1875,0.0625,0.6875,0.5625,0.4375,0.6875,0.37773788673423675
9,0.9375,0.0625,0.5625,0.9375,0.3125,0.4375,0.8125,0.6875,0.4375,0.40350212796666746
10,0.4375,0.5625,0.0625,0.4375,0.8125,0.9375,0.3125,0.1875,0.9375,0.34088471035426093
11,0.3125,0.1875,0.9375,0.5625,0.4375,0.8125,0.1875,0.3125,0.0625,0.2624904237768452
12,0.8125,0.6875,0.4375,0.0625,0.9375,0.3125,0.6875,0.8125,0.5625,0.41976631890657223
13,0.5625,0.4375,0.1875,0.8125,0.6875,0.5625,0.9375,0.0625,0.3125,0.33825732740796516
14,0.0625,0.9375,0.6875,0.3125,0.1875,0.0625,0.4375,0.5625,0.8125,0.2514881344515727
15,0.09375,0.46875,0.84375,0.40625,0.28125,0.34375,0.53125,0.84375,0.78125,0.3683941596748425
16,0.59375,0.96875,0.34375,0.90625,0.78125,0.84375,0.03125,0.34375,0.28125,0.3516421413845084
17,0.84375,0.21875,0.09375,0.15625,0.53125,0.09375,0.28125,0.59375,0.53125,0.22150370255341587
18,0.34375,0.71875,0.59375,0.65625,0.03125,0.59375,0.78125,0.09375,0.03125,0.1896284830189026
19,0.46875,0.09375,0.46875,0.28125,0.65625,0.71875,0.65625,0.46875,0.90625,0.38803449110378535
20,0.96875,0.59375,0.96875,0.78125,0.15625,0.21875,0.15625,0.96875,0.40625,0.3972947739802595
21,0.71875,0.34375,0.71875,0.03125,0.40625,0.96875,0.40625,0.21875,0.65625,0.30686845638343374
22,0.21875,0.84375,0.21875,0.53125,0.90625,0.46875,0.90625,0.71875,0.15625,0.39798125011079427
