,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.87632581913
1,0.75,0.25,0.75,0.25,0.75,0.25,0.75,0.25,0.25,0.75,0.25,0.75,0.25,0.75,0.25,0.75,0.75,0.25,0.75,0.25,0.89058727828
2,0.25,0.75,0.25,0.75,0.25,0.75,0.25,0.75,0.75,0.25,0.75,0.25,0.75,0.25,0.75,0.25,0.25,0.75,0.25,0.75,0.85020144574
3,0.375,0.375,0.625,0.125,0.875,0.875,0.125,0.625,0.125,0.875,0.375,0.625,0.125,0.375,0.625,0.125,0.625,0.375,0.375,0.875,0.87940259793
4,0.875,0.875,0.125,0.625,0.375,0.375,0.625,0.125,0.625,0.375,0.875,0.125,0.625,0.875,0.125,0.625,0.125,0.875,0.875,0.375,0.8429506911
5,0.625,0.125,0.375,0.375,0.125,0.625,0.875,0.875,0.375,0.125,0.125,0.375,0.375,0.625,0.875,0.875,0.375,0.125,0.625,0.625,0.87193711816
6,0.125,0.625,0.875,0.875,0.625,0.125,0.375,0.375,0.875,0.625,0.625,0.875,0.875,0.125,0.375,0.375,0.875,0.625,0.125,0.125,0.81120770341
7,0.1875,0.3125,0.3125,0.6875,0.5625,0.1875,0.0625,0.9375,0.1875,0.0625,0.6875,0.8125,0.5625,0.6875,0.1875,0.6875,0.1875,0.0625,0.0625,0.8125,0.68945411013
8,0.6875,0.8125,0.8125,0.1875,0.0625,0.6875,0.5625,0.4375,0.6875,0.5625,0.1875,0.3125,0.0625,0.1875,0.6875,0.1875,0.6875,0.5625,0.5625,0.3125,0.95817992092
9,0.9375,0.0625,0.5625,0.9375,0.3125,0.4375,0.8125,0.6875,0.4375,0.8125,0.9375,0.0625,0.8125,0.4375,0.4375,0.4375,0.9375,0.3125,0.8125,0.5625,0.87207922171
10,0.4375,0.5625,0.0625,0.4375,0.8125,0.9375,0.3125,0.1875,0.9375,0.3125,0.4375,0.5625,0.3125,0.9375,0.9375,0.9375,0.4375,0.8125,0.3125,0.0625,0.79825649386
11,0.3125,0.1875,0.9375,0.5625,0.4375,0.8125,0.1875,0.3125,0.0625,0.9375,0.8125,0.4375,0.6875,0.8125,0.5625,0.5625,0.5625,0.4375,0.4375,0.1875,0.76244883618
12,0.8125,0.6875,0.4375,0.0625,0.9375,0.3125,0.6875,0.8125,0.5625,0.4375,0.3125,0.9375,0.1875,0.3125,0.0625,0.0625,0.0625,0.9375,0.9375,0.6875,0.8878412143
13,0.5625,0.4375,0.1875,0.8125,0.6875,0.5625,0.9375,0.0625,0.3125,0.1875,0.5625,0.6875,0.9375,0.0625,0.8125,0.3125,0.3125,0.1875,0.6875,0.4375,0.80606926211
14,0.0625,0.9375,0.6875,0.3125,0.1875,0.0625,0.4375,0.5625,0.8125,0.6875,0.0625,0.1875,0.4375,0.5625,0.3125,0.8125,0.8125,0.6875,0.1875,0.9375,0.87626152124
15,0.09375,0.46875,0.84375,0.40625,0.28125,0.34375,0.53125,0.84375,0.78125,0.40625,0.40625,0.84375,0.84375,0.15625,0.78125,0.53125,0.09375,0.53125,0.34375,0.46875,0.81884930491
16,0.59375,0.96875,0.34375,0.90625,0.78125,0.84375,0.03125,0.34375,0.28125,0.90625,0.90625,0.34375,0.34375,0.65625,0.28125,0.03125,0.59375,0.03125,0.84375,0.96875,0.88079585113
17,0.84375,0.21875,0.09375,0.15625,0.53125,0.09375,0.28125,0.59375,0.53125,0.65625,0.15625,0.09375,0.59375,0.90625,0.53125,0.28125,0.84375,0.78125,0.59375,0.21875,0.81626358147
18,0.34375,0.71875,0.59375,0.65625,0.03125,0.59375,0.78125,0.09375,0.03125,0.15625,0.65625,0.59375,0.09375,0.40625,0.03125,0.78125,0.34375,0.28125,0.09375,0.71875,0.82485607434
19,0.46875,0.09375,0.46875,0.28125,0.65625,0.71875,0.65625,0.46875,0.90625,0.53125,0.03125,0.46875,0.96875,0.28125,0.40625,0.65625,0.71875,0.90625,0.21875,0.59375,0.87722840577
20,0.96875,0.59375,0.96875,0.78125,0.15625,0.21875,0.15625,0.96875,0.40625,0.03125,0.53125,0.96875,0.46875,0.78125,0.90625,0.15625,0.21875,0.40625,0.71875,0.09375,0.83348010494
21,0.71875,0.34375,0.71875,0.03125,0.40625,0.96875,0.40625,0.21875,0.65625,0.28125,0.28125,0.71875,0.71875,0.53125,0.15625,0.40625,0.46875,0.65625,0.96875,0.84375,0.85691358455
22,0.21875,0.84375,0.21875,0.53125,0.90625,0.46875,0.90625,0.71875,0.15625,0.78125,0.78125,0.21875,0.21875,0.03125,0.65625,0.90625,0.96875,0.15625,0.46875,0.34375,0.91826740071
23,0.15625,0.15625,0.53125,0.84375,0.84375,0.40625,0.59375,0.15625,0.96875,0.46875,0.84375,0.03125,0.28125,0.59375,0.96875,0.21875,0.15625,0.59375,0.28125,0.65625,0.87556288122
