,0,1,2,3,4,5,6
0,0.5,0.5,0.5,0.5,0.5,0.5,-1.469576158976824e-15
1,0.75,0.25,0.75,0.25,0.75,0.25,1.469576158976824e-15
2,0.25,0.75,0.25,0.75,0.25,0.75,1.4695761589768238e-15
3,0.375,0.375,0.625,0.125,0.875,0.875,-2.0
4,0.875,0.875,0.125,0.625,0.375,0.375,-2.0
5,0.625,0.125,0.375,0.375,0.125,0.625,2.0
6,0.125,0.625,0.875,0.875,0.625,0.125,2.0
7,0.1875,0.3125,0.3125,0.6875,0.5625,0.1875,1.4142135623730958
8,0.6875,0.8125,0.8125,0.1875,0.0625,0.6875,1.4142135623730958
9,0.9375,0.0625,0.5625,0.9375,0.3125,0.4375,-1.4142135623730971
10,0.4375,0.5625,0.0625,0.4375,0.8125,0.9375,-1.414213562373097
11,0.3125,0.1875,0.9375,0.5625,0.4375,0.8125,-1.4142135623730967
12,0.8125,0.6875,0.4375,0.0625,0.9375,0.3125,-1.4142135623730958
13,0.5625,0.4375,0.1875,0.8125,0.6875,0.5625,1.414213562373095
14,0.0625,0.9375,0.6875,0.3125,0.1875,0.0625,1.414213562373095
15,0.09375,0.46875,0.84375,0.40625,0.28125,0.34375,-2.6131259297527527
16,0.59375,0.96875,0.34375,0.90625,0.78125,0.84375,-2.6131259297527536
17,0.84375,0.21875,0.09375,0.15625,0.53125,0.09375,2.613125929752754
18,0.34375,0.71875,0.59375,0.65625,0.03125,0.59375,2.6131259297527536
19,0.46875,0.09375,0.46875,0.28125,0.65625,0.71875,1.0823922002923936
20,0.96875,0.59375,0.96875,0.78125,0.15625,0.21875,1.082392200292392
21,0.71875,0.34375,0.71875,0.03125,0.40625,0.96875,-1.082392200292393
22,0.21875,0.84375,0.21875,0.53125,0.90625,0.46875,-1.0823922002923938
23,0.15625,0.15625,0.53125,0.84375,0.84375,0.40625,-0.541196100146196
24,0.65625,0.65625,0.03125,0.34375,0.34375,0.90625,-0.5411961001461967
25,0.90625,0.40625,0.28125,0.59375,0.09375,0.15625,0.5411961001461969
26,0.40625,0.90625,0.78125,0.09375,0.59375,0.65625,0.5411961001461965
27,0.28125,0.28125,0.15625,0.96875,0.21875,0.53125,0.5411961001461967
28,0.78125,0.78125,0.65625,0.46875,0.71875,0.03125,0.5411961001461969
29,0.53125,0.03125,0.90625,0.71875,0.96875,0.78125,-0.541196100146197
30,0.03125,0.53125,0.40625,0.21875,0.46875,0.28125,-0.5411961001461971
31,0.046875,0.265625,0.609375,0.578125,0.703125,0.640625,3.709090317132082
32,0.546875,0.765625,0.109375,0.078125,0.203125,0.140625,3.709090317132083
33,0.796875,0.015625,0.359375,0.828125,0.453125,0.890625,-3.7090903171320813
34,0.296875,0.515625,0.859375,0.328125,0.953125,0.390625,-3.709090317132082
35,0.421875,0.140625,0.234375,0.703125,0.328125,0.265625,-0.1265837111822577
36,0.921875,0.640625,0.734375,0.203125,0.828125,0.765625,-0.12658371118225714
37,0.671875,0.390625,0.984375,0.953125,0.578125,0.015625,0.12658371118225814
38,0.171875,0.890625,0.484375,0.453125,0.078125,0.515625,0.12658371118225736
39,0.234375,0.078125,0.796875,0.140625,0.140625,0.578125,3.2640298744080782
40,0.734375,0.578125,0.296875,0.640625,0.640625,0.078125,3.264029874408078
41,0.984375,0.328125,0.046875,0.390625,0.890625,0.828125,-3.2640298744080773
42,0.484375,0.828125,0.546875,0.890625,0.390625,0.328125,-3.2640298744080782
43,0.359375,0.453125,0.421875,0.015625,0.765625,0.453125,-2.923395358744979
44,0.859375,0.953125,0.921875,0.515625,0.265625,0.953125,-2.9233953587449806
45,0.609375,0.203125,0.671875,0.265625,0.015625,0.203125,2.9233953587449806
46,0.109375,0.703125,0.171875,0.765625,0.515625,0.703125,2.9233953587449815
47,0.078125,0.234375,0.265625,0.984375,0.984375,0.984375,0.2461986462541611
48,0.578125,0.734375,0.765625,0.484375,0.484375,0.484375,0.2461986462541598
49,0.828125,0.484375,0.515625,0.734375,0.234375,0.734375,-0.246198646254161
50,0.328125,0.984375,0.015625,0.234375,0.734375,0.234375,-0.2461986462541599
51,0.453125,0.359375,0.890625,0.859375,0.109375,0.109375,-1.5363555134228326
52,0.953125,0.859375,0.390625,0.359375,0.609375,0.609375,-1.536355513422833
53,0.703125,0.109375,0.140625,0.609375,0.859375,0.359375,1.5363555134228326
54,0.203125,0.609375,0.640625,0.109375,0.359375,0.859375,1.5363555134228326
55,0.140625,0.421875,0.078125,0.296875,0.421875,0.796875,-0.9618247979385189
56,0.640625,0.921875,0.578125,0.796875,0.921875,0.296875,-0.9618247979385189
57,0.890625,0.171875,0.828125,0.046875,0.671875,0.546875,0.9618247979385193
58,0.390625,0.671875,0.328125,0.546875,0.171875,0.046875,0.9618247979385194
59,0.265625,0.046875,0.703125,0.421875,0.546875,0.171875,1.4716203770426781
60,0.765625,0.546875,0.203125,0.921875,0.046875,0.671875,1.471620377042679
61,0.515625,0.296875,0.453125,0.171875,0.296875,0.421875,-1.471620377042678
62,0.015625,0.796875,0.953125,0.671875,0.796875,0.921875,-1.4716203770426777
63,0.0234375,0.3984375,0.4453125,0.8046875,0.2109375,0.8671875,-2.4592302166512363
64,0.5234375,0.8984375,0.9453125,0.3046875,0.7109375,0.3671875,-2.4592302166512363
65,0.7734375,0.1484375,0.6953125,0.5546875,0.9609375,0.6171875,2.459230216651236
66,0.2734375,0.6484375,0.1953125,0.0546875,0.4609375,0.1171875,2.4592302166512363
67,0.3984375,0.0234375,0.8203125,0.9296875,0.8359375,0.2421875,-2.9965806892220153
68,0.8984375,0.5234375,0.3203125,0.4296875,0.3359375,0.7421875,-2.996580689222015
69,0.6484375,0.2734375,0.0703125,0.6796875,0.0859375,0.4921875,2.9965806892220157
70,0.1484375,0.7734375,0.5703125,0.1796875,0.5859375,0.9921875,2.9965806892220135
71,0.2109375,0.2109375,0.1328125,0.4921875,0.6484375,0.9296875,2.023890942364103
72,0.7109375,0.7109375,0.6328125,0.9921875,0.1484375,0.4296875,2.0238909423641043
